ID,COUNTRY,DIRECTION,COUNTY,LAT,LON,YEAR,YRGROUP,HOST,HOSTTYPE,LINEAGE,SOURCE,ID,MLG,MANMLG
18_135,ie,w,cork,51.9036,-8.4684,2018,late,viburnum,shrub,eu1,nursery,18_135,eu1mg1,11
18_161,ie,w,galway,53.271,-9.0627,2018,late,viburnum,shrub,eu1,nursery,18_161,eu1mg1,11
18_200,ie,w,tipperary,52.3543,-7.695,2018,late,camellia,shrub,eu1,nursery,18_200,eu1mg7,17
18_237,ie,w,cork,51.9036,-8.4684,2018,late,rhod,shrub,eu1,nursery,18_237,eu1mg32,132
18_440,ie,ne,louth,53.9524,-6.539,2018,late,larix,contree,eu2,forest,18_440,eu2mg3,23
18_441,ie,ne,louth,53.9524,-6.539,2018,late,larix,contree,eu2,forest,18_441,eu2mg3,23
18_507,ie,w,tipperary,52.3543,-7.695,2018,late,rhod,shrub,eu1,forest,18_507,EU1MG134,1134
18_669,ie,w,tipperary,52.3543,-7.695,2018,late,rhod,shrub,eu1,forest,18_669,eu1mg1,11
18_670,ie,w,tipperary,52.3543,-7.695,2018,late,rhod,shrub,eu1,forest,18_670,eu1mg1,11
18_685,ie,w,tipperary,52.3543,-7.695,2018,late,rhod,shrub,eu1,forest,18_685,eu1mg18,118
18_85,ie,ne,westmeath,53.5259,-7.3381,2018,late,viburnum,shrub,eu1,nursery,18_85,eu1mg1,11
19_116,ie,w,tipperary,52.3543,-7.695,2019,late,rhod,shrub,eu1,nursery,19_116,eu1mg1,11
19_192,ie,w,cork,51.9036,-8.4684,2019,late,rhod,shrub,eu1,nursery,19_192,eu1mg1,11
19_805,ie,w,galway,53.271,-9.0627,2019,late,rhod,shrub,eu1,forest,19_805,EU1MG127,1127
20_530,ie,w,cork,51.9036,-8.4684,2020,late,rhod,shrub,eu1,forest,20_530,EU1MG124,1124
20_532,ie,w,kerry,52.0599,-9.5044,2020,late,rhod,shrub,eu1,other,20_532,eu1mg5,15
21_243,ie,w,cork,51.9036,-8.4684,2021,late,rhod,shrub,eu2,other,21_243,eu2mg1,21
21_422,ie,w,cork,51.9036,-8.4684,2021,late,rhod,shrub,eu1,nursery,21_422,eu1mg1,11
21_534,ie,w,clare,52.8562,-9.4008,2021,late,larix,contree,eu1,forest,21_534,eu1mg106,1106
21_609,ie,ne,louth,53.9524,-6.539,2021,late,water,envi,eu2,forest,21_609,eu2mg3,23
21_703,ie,ne,louth,53.9524,-6.539,2021,late,unknown,envi,eu2,forest,21_703,eu2mg3,23
21_759,ie,w,mayo,54.0153,-9.4289,2021,late,rhod,shrub,eu1,forest,21_759,eu1mg1,11
21_768,ie,ne,louth,53.9524,-6.539,2021,late,unknown,envi,eu2,forest,21_768,eu2mg3,23
21_778,ie,ne,louth,53.9524,-6.539,2021,late,unknown,envi,eu2,forest,21_778,eu2mg3,23
21_824,ie,ne,louth,53.9524,-6.539,2021,late,unknown,envi,eu2,forest,21_824,eu2mg3,23
21_86,ie,w,cork,51.9036,-8.4684,2021,late,rhod,shrub,eu2,other,21_86,eu2mg4,24
21_931,ie,se,wicklow,53.0113,-6.3262,2021,late,larix,contree,eu1,forest,21_931,eu1mg1,11
22_488,ie,w,tipperary,52.3543,-7.695,2022,late,camellia,shrub,eu1,nursery,22_488,eu1mg1,11
22_532,ie,w,cork,51.9036,-8.4684,2022,late,larix,contree,eu2,forest,22_532,eu2mg1,21
AFBI_1,ni,ni,down,53.3501,-6.2662,2022,late,pieris,shrub,eu1,other,AFBI_1,EU1MG126,1126
AFBI_11,ni,ni,antrim,54.682,-5.88,2022,late,larix,contree,eu2,forest,AFBI_11,eu2mg6,26
